City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Fayaoue,NC,81.55,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
639,Kloulklubed,PW,82.4,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
644,San Juan,AR,77.11,overcast clouds,-31.5375,-68.5364,Hotel Provincial
647,Tulagi,SB,81.41,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
649,Pirayu,PY,78.48,moderate rain,-25.4833,-57.2333,"Quinta Pytu´u, Pirayú"
656,San Lorenzo,PY,77.94,overcast clouds,-25.3333,-57.5333,Hotel del Sur
657,Sola,VU,82.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
662,Namatanai,PG,85.82,light rain,-3.6667,152.4333,Seagulls Inn Namatani
663,Vao,NC,78.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
670,Bowen,AU,76.3,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
678,Dangriga,BZ,78.98,clear sky,16.9692,-88.2321,Chaleanor Hotel
679,Limot,PH,82.42,scattered clouds,7.0405,126.2727,Buso Hot Spring
680,Mitsamiouli,KM,79.81,overcast clouds,-11.3847,43.2844,Foyer ADM
687,Martapura,ID,86.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
688,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
689,Biak,ID,82.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
